,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
10,"{'Avg_Min_Delay_Time': 21.2109375, 'Avg_Delay_Occurrences_Per_Hour': 6.79646017699115}","{'Avg_Min_Delay_Time': 24.586357039187227, 'Avg_Delay_Occurrences_Per_Hour': 6.097345132743363}","{'Avg_Min_Delay_Time': 23.385847797062752, 'Avg_Delay_Occurrences_Per_Hour': 6.5701754385964914}","{'Avg_Min_Delay_Time': 25.87701612903226, 'Avg_Delay_Occurrences_Per_Hour': 4.350877192982456}","{'Avg_Min_Delay_Time': 21.23203026481715, 'Avg_Delay_Occurrences_Per_Hour': 7.080357142857143}","{'Avg_Min_Delay_Time': 21.321909424724602, 'Avg_Delay_Occurrences_Per_Hour': 7.230088495575221}","{'Avg_Min_Delay_Time': 24.418032786885245, 'Avg_Delay_Occurrences_Per_Hour': 6.477876106194691}"
11,"{'Avg_Min_Delay_Time': 24.59240506329114, 'Avg_Delay_Occurrences_Per_Hour': 6.991150442477876}","{'Avg_Min_Delay_Time': 22.92608695652174, 'Avg_Delay_Occurrences_Per_Hour': 6.106194690265487}","{'Avg_Min_Delay_Time': 22.790040376850605, 'Avg_Delay_Occurrences_Per_Hour': 6.517543859649122}","{'Avg_Min_Delay_Time': 24.260249554367203, 'Avg_Delay_Occurrences_Per_Hour': 4.921052631578948}","{'Avg_Min_Delay_Time': 23.068212824010914, 'Avg_Delay_Occurrences_Per_Hour': 6.544642857142857}","{'Avg_Min_Delay_Time': 22.123393316195372, 'Avg_Delay_Occurrences_Per_Hour': 6.884955752212389}","{'Avg_Min_Delay_Time': 24.546163849154745, 'Avg_Delay_Occurrences_Per_Hour': 6.8053097345132745}"
12,"{'Avg_Min_Delay_Time': 25.937834941050376, 'Avg_Delay_Occurrences_Per_Hour': 8.256637168141593}","{'Avg_Min_Delay_Time': 20.174165457184326, 'Avg_Delay_Occurrences_Per_Hour': 6.097345132743363}","{'Avg_Min_Delay_Time': 19.36392405063291, 'Avg_Delay_Occurrences_Per_Hour': 8.31578947368421}","{'Avg_Min_Delay_Time': 19.93877551020408, 'Avg_Delay_Occurrences_Per_Hour': 5.587719298245614}","{'Avg_Min_Delay_Time': 17.76904176904177, 'Avg_Delay_Occurrences_Per_Hour': 7.267857142857143}","{'Avg_Min_Delay_Time': 18.448402948402947, 'Avg_Delay_Occurrences_Per_Hour': 7.20353982300885}","{'Avg_Min_Delay_Time': 24.91824644549763, 'Avg_Delay_Occurrences_Per_Hour': 7.469026548672566}"
13,"{'Avg_Min_Delay_Time': 18.60420168067227, 'Avg_Delay_Occurrences_Per_Hour': 10.530973451327434}","{'Avg_Min_Delay_Time': 18.030939226519337, 'Avg_Delay_Occurrences_Per_Hour': 8.008849557522124}","{'Avg_Min_Delay_Time': 19.717797443461162, 'Avg_Delay_Occurrences_Per_Hour': 8.921052631578947}","{'Avg_Min_Delay_Time': 18.247800586510262, 'Avg_Delay_Occurrences_Per_Hour': 5.982456140350878}","{'Avg_Min_Delay_Time': 18.056623931623932, 'Avg_Delay_Occurrences_Per_Hour': 8.357142857142858}","{'Avg_Min_Delay_Time': 21.265495867768596, 'Avg_Delay_Occurrences_Per_Hour': 8.56637168141593}","{'Avg_Min_Delay_Time': 18.966183574879228, 'Avg_Delay_Occurrences_Per_Hour': 9.15929203539823}"
14,"{'Avg_Min_Delay_Time': 18.40860973888497, 'Avg_Delay_Occurrences_Per_Hour': 12.539823008849558}","{'Avg_Min_Delay_Time': 18.414589104339797, 'Avg_Delay_Occurrences_Per_Hour': 9.584070796460177}","{'Avg_Min_Delay_Time': 18.96732026143791, 'Avg_Delay_Occurrences_Per_Hour': 9.394736842105264}","{'Avg_Min_Delay_Time': 18.647577092511014, 'Avg_Delay_Occurrences_Per_Hour': 5.973684210526316}","{'Avg_Min_Delay_Time': 17.59080633006782, 'Avg_Delay_Occurrences_Per_Hour': 11.848214285714286}","{'Avg_Min_Delay_Time': 18.30511463844797, 'Avg_Delay_Occurrences_Per_Hour': 10.035398230088495}","{'Avg_Min_Delay_Time': 20.987179487179485, 'Avg_Delay_Occurrences_Per_Hour': 11.044247787610619}"
15,"{'Avg_Min_Delay_Time': 19.10631443298969, 'Avg_Delay_Occurrences_Per_Hour': 13.734513274336283}","{'Avg_Min_Delay_Time': 21.37104430379747, 'Avg_Delay_Occurrences_Per_Hour': 11.185840707964601}","{'Avg_Min_Delay_Time': 21.87704026115343, 'Avg_Delay_Occurrences_Per_Hour': 8.06140350877193}","{'Avg_Min_Delay_Time': 20.322206095791003, 'Avg_Delay_Occurrences_Per_Hour': 6.043859649122807}","{'Avg_Min_Delay_Time': 18.325833979829326, 'Avg_Delay_Occurrences_Per_Hour': 11.508928571428571}","{'Avg_Min_Delay_Time': 16.271348762968874, 'Avg_Delay_Occurrences_Per_Hour': 11.08849557522124}","{'Avg_Min_Delay_Time': 20.530598052851182, 'Avg_Delay_Occurrences_Per_Hour': 12.725663716814159}"
16,"{'Avg_Min_Delay_Time': 14.972077922077922, 'Avg_Delay_Occurrences_Per_Hour': 13.628318584070797}","{'Avg_Min_Delay_Time': 16.539668700959023, 'Avg_Delay_Occurrences_Per_Hour': 10.150442477876107}","{'Avg_Min_Delay_Time': 19.089099526066352, 'Avg_Delay_Occurrences_Per_Hour': 9.25438596491228}","{'Avg_Min_Delay_Time': 24.5015015015015, 'Avg_Delay_Occurrences_Per_Hour': 5.842105263157895}","{'Avg_Min_Delay_Time': 16.906646751306944, 'Avg_Delay_Occurrences_Per_Hour': 11.955357142857142}","{'Avg_Min_Delay_Time': 17.070846905537458, 'Avg_Delay_Occurrences_Per_Hour': 10.867256637168142}","{'Avg_Min_Delay_Time': 17.775069637883007, 'Avg_Delay_Occurrences_Per_Hour': 12.70796460176991}"
17,"{'Avg_Min_Delay_Time': 14.976123595505618, 'Avg_Delay_Occurrences_Per_Hour': 12.601769911504425}","{'Avg_Min_Delay_Time': 19.77835497835498, 'Avg_Delay_Occurrences_Per_Hour': 10.221238938053098}","{'Avg_Min_Delay_Time': 17.03873873873874, 'Avg_Delay_Occurrences_Per_Hour': 9.736842105263158}","{'Avg_Min_Delay_Time': 19.047552447552448, 'Avg_Delay_Occurrences_Per_Hour': 6.271929824561403}","{'Avg_Min_Delay_Time': 16.775466284074607, 'Avg_Delay_Occurrences_Per_Hour': 12.446428571428571}","{'Avg_Min_Delay_Time': 21.227013832384053, 'Avg_Delay_Occurrences_Per_Hour': 10.876106194690266}","{'Avg_Min_Delay_Time': 19.209867452135494, 'Avg_Delay_Occurrences_Per_Hour': 12.017699115044248}"
18,"{'Avg_Min_Delay_Time': 18.813953488372093, 'Avg_Delay_Occurrences_Per_Hour': 11.035398230088495}","{'Avg_Min_Delay_Time': 21.483940042826553, 'Avg_Delay_Occurrences_Per_Hour': 8.265486725663717}","{'Avg_Min_Delay_Time': 18.267441860465116, 'Avg_Delay_Occurrences_Per_Hour': 9.052631578947368}","{'Avg_Min_Delay_Time': 20.141078838174273, 'Avg_Delay_Occurrences_Per_Hour': 6.342105263157895}","{'Avg_Min_Delay_Time': 18.827556325823224, 'Avg_Delay_Occurrences_Per_Hour': 10.303571428571429}","{'Avg_Min_Delay_Time': 18.5715695952616, 'Avg_Delay_Occurrences_Per_Hour': 8.964601769911505}","{'Avg_Min_Delay_Time': 18.170542635658915, 'Avg_Delay_Occurrences_Per_Hour': 10.274336283185841}"
19,"{'Avg_Min_Delay_Time': 21.198317307692307, 'Avg_Delay_Occurrences_Per_Hour': 7.3628318584070795}","{'Avg_Min_Delay_Time': 23.31530139103555, 'Avg_Delay_Occurrences_Per_Hour': 5.725663716814159}","{'Avg_Min_Delay_Time': 20.829516539440203, 'Avg_Delay_Occurrences_Per_Hour': 6.894736842105263}","{'Avg_Min_Delay_Time': 23.998116760828626, 'Avg_Delay_Occurrences_Per_Hour': 4.657894736842105}","{'Avg_Min_Delay_Time': 24.015895953757227, 'Avg_Delay_Occurrences_Per_Hour': 6.178571428571429}","{'Avg_Min_Delay_Time': 24.04123711340206, 'Avg_Delay_Occurrences_Per_Hour': 6.008849557522124}","{'Avg_Min_Delay_Time': 27.5627425614489, 'Avg_Delay_Occurrences_Per_Hour': 6.84070796460177}"
20,"{'Avg_Min_Delay_Time': 27.53758865248227, 'Avg_Delay_Occurrences_Per_Hour': 6.238938053097345}","{'Avg_Min_Delay_Time': 25.807971014492754, 'Avg_Delay_Occurrences_Per_Hour': 4.884955752212389}","{'Avg_Min_Delay_Time': 21.012158054711247, 'Avg_Delay_Occurrences_Per_Hour': 5.771929824561403}","{'Avg_Min_Delay_Time': 20.943562610229275, 'Avg_Delay_Occurrences_Per_Hour': 4.973684210526316}","{'Avg_Min_Delay_Time': 24.272583201267828, 'Avg_Delay_Occurrences_Per_Hour': 5.633928571428571}","{'Avg_Min_Delay_Time': 24.523277467411546, 'Avg_Delay_Occurrences_Per_Hour': 4.752212389380531}","{'Avg_Min_Delay_Time': 24.696969696969695, 'Avg_Delay_Occurrences_Per_Hour': 5.548672566371682}"
21,"{'Avg_Min_Delay_Time': 22.914516129032258, 'Avg_Delay_Occurrences_Per_Hour': 5.486725663716814}","{'Avg_Min_Delay_Time': 27.70467289719626, 'Avg_Delay_Occurrences_Per_Hour': 4.734513274336283}","{'Avg_Min_Delay_Time': 22.854545454545455, 'Avg_Delay_Occurrences_Per_Hour': 4.824561403508772}","{'Avg_Min_Delay_Time': 23.881801125703564, 'Avg_Delay_Occurrences_Per_Hour': 4.675438596491228}","{'Avg_Min_Delay_Time': 22.1499176276771, 'Avg_Delay_Occurrences_Per_Hour': 5.419642857142857}","{'Avg_Min_Delay_Time': 25.043478260869566, 'Avg_Delay_Occurrences_Per_Hour': 5.292035398230088}","{'Avg_Min_Delay_Time': 27.531948881789138, 'Avg_Delay_Occurrences_Per_Hour': 5.539823008849558}"
22,"{'Avg_Min_Delay_Time': 28.28769841269841, 'Avg_Delay_Occurrences_Per_Hour': 4.460176991150442}","{'Avg_Min_Delay_Time': 28.595185995623634, 'Avg_Delay_Occurrences_Per_Hour': 4.04424778761062}","{'Avg_Min_Delay_Time': 21.526315789473685, 'Avg_Delay_Occurrences_Per_Hour': 4.166666666666667}","{'Avg_Min_Delay_Time': 26.277173913043477, 'Avg_Delay_Occurrences_Per_Hour': 3.2280701754385963}","{'Avg_Min_Delay_Time': 24.538297872340426, 'Avg_Delay_Occurrences_Per_Hour': 4.196428571428571}","{'Avg_Min_Delay_Time': 28.762666666666668, 'Avg_Delay_Occurrences_Per_Hour': 3.3185840707964602}","{'Avg_Min_Delay_Time': 25.352830188679246, 'Avg_Delay_Occurrences_Per_Hour': 4.6902654867256635}"
23,"{'Avg_Min_Delay_Time': 26.241935483870968, 'Avg_Delay_Occurrences_Per_Hour': 3.2920353982300883}","{'Avg_Min_Delay_Time': 25.38108108108108, 'Avg_Delay_Occurrences_Per_Hour': 3.274336283185841}","{'Avg_Min_Delay_Time': 23.28538283062645, 'Avg_Delay_Occurrences_Per_Hour': 3.780701754385965}","{'Avg_Min_Delay_Time': 26.725274725274726, 'Avg_Delay_Occurrences_Per_Hour': 3.192982456140351}","{'Avg_Min_Delay_Time': 24.88121546961326, 'Avg_Delay_Occurrences_Per_Hour': 3.232142857142857}","{'Avg_Min_Delay_Time': 23.61124694376528, 'Avg_Delay_Occurrences_Per_Hour': 3.6194690265486726}","{'Avg_Min_Delay_Time': 29.523809523809526, 'Avg_Delay_Occurrences_Per_Hour': 3.3451327433628317}"
