,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,1.8052335210334547,1.7800338409475467,2.1347930208689703,2.501633529356856,1.9682691160682335,1.7061193653991436,1.8886738225115842
1,1.253174340289279,1.2318104906937395,1.7105713308244956,1.8015495192756463,1.3420016700465227,1.3157894736842104,1.1203003108686727
2,1.209009605829745,1.1302876480541455,1.566883339035238,2.0442453094371325,1.0676368841703447,1.076555023923445,1.1437620974837235
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.515071215634316,5.895093062605753,3.1953472459801575,2.221599925324372,6.4416080162233085,6.635608159153865,5.871312100416446
7,4.394391078723639,5.035532994923858,3.345877523092713,4.415196490245496,4.646308004294405,5.16242760010073,4.680626429702621
8,4.388870486916197,4.72419627749577,3.6879917892576124,5.339307383552693,4.383872122151974,4.476202467892219,4.475335796820928
9,4.7311471789775865,4.961082910321489,5.371193978788916,5.012601512181462,5.35011332458547,5.137245026441702,4.8331280427004515
10,4.23981450811527,4.6632825719120135,5.124871707150188,4.629888920003734,4.729810330430633,5.143540669856459,4.293506950554285
11,4.361267527878988,4.67005076142132,5.0838179952104,5.236628395407449,4.371943218418227,4.898010576680937,4.510528476743504
12,5.15071215634316,4.6632825719120135,6.486486486486487,5.946046858956408,4.855063819634975,5.124653739612189,4.950436975775705
13,6.569504250855691,6.125211505922166,6.958604173794047,6.366097265005134,5.582726947393535,6.094182825484765,6.070737286644378
14,7.82267859114497,7.3299492385786795,7.328087581252138,6.356762811537385,7.914827627341047,7.139259632334424,7.320077423895829
15,8.567958485149608,8.554991539763114,6.288060212110845,6.43143843927938,7.688178456399856,7.888441198690506,8.434512288110739
16,8.501711383460307,7.763113367174281,7.218611016079371,6.216746009521143,7.986401049743528,7.731050113321582,8.422781394803213
17,7.8613227337970635,7.817258883248732,7.59493670886076,6.674134229440866,8.314445902421568,7.737345756736339,7.965276555809725
18,6.884177983879872,6.321489001692047,7.061238453643518,6.748809857182862,6.882977454371943,6.377486779148829,6.809783565018476
19,4.593132383791543,4.3790186125211505,5.378036264112214,4.9565947913749655,4.127400691876416,4.274741878619995,4.533990263358555
20,3.8920172242464393,3.7360406091370555,4.502223742730072,5.292635116213946,3.7635691279971373,3.3807605137245025,3.6776350519092027
21,3.42276692061389,3.620981387478849,3.76325692781389,4.9752636983104646,3.6204222831921746,3.764794762024679,3.67176960525544
22,2.782378270950646,3.0930626057529613,3.250085528566541,3.435078876131802,2.8032923774305143,2.3608662805338705,3.1086867264942226
23,2.0536601523683338,2.504230118443316,2.9490249743414303,3.397741062260805,2.1591315758081833,2.5749181566356083,2.2171388351222947
